company_name,symbol
Divgi Torqtransfer Systems Ltd.,DIVGIITTSEQ
NDR Auto Components Ltd.,NDRAUTOEQ
Mandeep Auto Industries Ltd.,MANDEEPSM
Apollo Tyres Ltd.,APOLLOTYREEQ
Ceat Ltd.,CEATEQ1
Ceat Ltd.,CEATLTDEQ
Goodyear India Ltd.,GOODYEAREQ1
Goodyear India Ltd.,GOODYEAREQ
JK Tyre & Industries Ltd.,JKINDEQ1
JK Tyre & Industries Ltd.,JKTYREEQ
Modi Rubber Ltd.,MODIRUBBEREQ1
Modi Rubber Ltd.,MODIRUBBERBE
PTL Enterprises Ltd.,PTLEQ
TVS Srichakra Ltd.,SRICHAKTYREQ1
TVS Srichakra Ltd.,TVSSRICHAKEQ
MRF Ltd.,MRFT0
MRF Ltd.,MRFEQ
Innovative Tyres & Tubes Ltd.,INNOVATIVESM
Birla Tyres Ltd.,BIRLATYREBE
Tolins Tyres Ltd.,TOLINSEQ
Goa Carbons Ltd.,GOACARBONEQ
Oriental Carbon & Chemicals Ltd.,OCCLBE
PCBL Ltd.,PHILIPCARBEQ1
PCBL Ltd.,PCBLEQ
Hi-Green Carbon Ltd.,HIGREENST
Bikewo Green Tech Ltd.,BIKEWOSM
Jay Jalaram Technologies Ltd.,KORESM
Fonebox Retail Ltd.,FONEBOXSM
V-Mart Retail Ltd.,VMARTEQ
Future Retail Ltd.,FRETAILBZ
Avenue Supermarts Ltd.,DMARTEQ
Heads UP Ventures Ltd.,HEADSUPEQ
Praxis Home Retail Ltd.,PRAXISBE
Praxis Home Retail Ltd.,PRAXIS-REBE
Praxis Home Retail Ltd.,Praxis-RE1BE
Osia Hyper Retail Ltd.,OSIAHYPERBE
Magson Retail & Distribution Ltd.,MAGSONSM
Aditya Birla Fashion and Retail Ltd.,ABFRLEQ
Aditya Birla Fashion and Retail Ltd.,ABFRLPP1E1
Aditya Birla Fashion and Retail Ltd.,ABFRL-REBE
Future Lifestyle Fashions Ltd.,FLFLBZ
Vedant Fashions Ltd.,MANYAVAREQ
S D Retail Ltd.,SDREAMSSM
Sharda Motor Industries Ltd.,SHARDAMOTREQ
ASK Automotive Ltd.,ASKAUTOLTDEQ
Landmark Cars Ltd.,LANDMARKEQ
Goodricke Group Ltd.,GOODRICKEEQ1
Goodricke Group Ltd.,GOODRICKEEQ
Bombay Burmah Trading Corporation Ltd.,BBTCEQ1
Bombay Burmah Trading Corporation Ltd.,BBTCEQ
Tata Coffee Ltd.,CONSCOFFEEEQ1
Tata Coffee Ltd.,TATACOFFEEEQ
Tata Coffee Ltd.,TATACOFFEEN1
Gillanders Arbuthnot & Company Ltd.,GILLANDERSEQ
Harrisons Malayalam Ltd.,HARRMALAYAEQ1
Harrisons Malayalam Ltd.,HARRMALAYABE
STEL Holdings Ltd.,STELBE
Jay Shree Tea & Industries Ltd.,JAYSREETEAEQ
McLeod Russel (India) Ltd.,MCLEODRUSSEQ
Warren Tea Ltd.,WARRENTEAEQ1
Warren Tea Ltd.,WARRENTEAEQ
The Grob Tea Company Ltd.,GROBTEABE
The Peria Karamalai Tea & Produce Company Ltd.,PKTEAEQ
Dhunseri Ventures Ltd.,DVLEQ
Norben Tea & Exports Ltd.,NORBTEAEXPEQ1
Norben Tea & Exports Ltd.,NORBTEAEXPBE
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEAEQ
CCL Products India Ltd.,CCLEQ
Rossell India Ltd.,ROSSELLINDBE
Dhunseri Tea & Industries Ltd.,DTILEQ
Anik Industries Ltd.,ANIKINDSBE
Madhur Industries Ltd.,MADHURFOODBE
Kohinoor Foods Ltd.,SATNAMOVEREQ1
Kohinoor Foods Ltd.,KOHINOOREQ
Vadilal Industries Ltd.,VADILALINDEQ
Foods & Inns Ltd.,FOODSINEQ
Hindustan Foods Ltd.,HNDFDSEQ
ADF Foods Ltd.,ADFFOODSEQ
Heritage Foods Ltd.,HERITGFOODEQ1
Heritage Foods Ltd.,HERITGFOODEQ
Heritage Foods Ltd.,HERIT-REBE
Hatsun Agro Products Ltd.,HATSUNEQ
Hatsun Agro Products Ltd.,HATSUNE1
Hatsun Agro Products Ltd.,HATSUN-REBE
Tanla Platforms Ltd.,TANLAEQ
Oswal Green Tech Ltd.,OSWALGREENEQ
IVP Ltd.,IVPEQ1
IVP Ltd.,IVPEQ
Wipro Ltd.,WIPROEQ
Madhusudan Industries Ltd.,MADSUDINDBE
Zydus Wellness Ltd.,ZYDUSWELLEQ
AVT Natural Products Ltd.,AVTNPLEQ
Oswal Agro Mills Ltd.,OSWALAGROEQ1
Oswal Agro Mills Ltd.,OSWALAGROBE
Nahar Industrial Enterprises Ltd.,NAHARINDUSEQ
Patanjali Foods Ltd.,RUCHISOYAEQ1
Patanjali Foods Ltd.,PATANJALIEQ
Agro Tech Foods Ltd.,ITCAGROEQ1
Agro Tech Foods Ltd.,ATFLEQ
Gujarat Ambuja Exports Ltd.,GAELEQ1
Gujarat Ambuja Exports Ltd.,GAELEQ
BCL Industries Ltd.,BCLINDEQ
Jayant Agro Organics Ltd.,JAYAGROGNEQ1
Jayant Agro Organics Ltd.,JAYAGROGNEQ
Kanel Industries Ltd.,KANELOILBE
Kriti Industries (India) Ltd.,KRITIEQ
Sanwaria Consumer Ltd.,SANWARIABZ
Vimal Oil & Foods Ltd.,VIMALOILBE
Techindia Nirman Ltd.,NATHSEEDSEQ1
Techindia Nirman Ltd.,TECHINBZ
3P Land Holdings Ltd.,3PLANDBE
KSE Ltd.,KSEBE
Privi Speciality Chemicals Ltd.,PRIVISCLEQ
Aruna Hotels Ltd.,ARUNASUGARBE
Bajaj Hindusthan Sugar Ltd.,BAJAJHINDEQ
Bannari Amman Sugars Ltd.,BANARISUGEQ1
Bannari Amman Sugars Ltd.,BANARISUGEQ
Dharani Sugars & Chemicals Ltd.,DHARSUGAREQ1
Dharani Sugars & Chemicals Ltd.,DHARSUGARBZ
KCP Ltd.,KCPEQ1
KCP Ltd.,KCPEQ
Kesar Enterprises Ltd.,KESARENTEQ
Kothari Sugars & Chemicals Ltd.,KOTHARISUGEQ1
Kothari Sugars & Chemicals Ltd.,KOTARISUGEQ
Rajshree Sugars & Chemicals Ltd.,RAJSREESUGEQ1
Rajshree Sugars & Chemicals Ltd.,RAJSREESUGEQ
The Ravalgaon Sugar Farm Ltd.,RAVALSUGAREQ1
The Ravalgaon Sugar Farm Ltd.,RAVALSUGAREQ
Sakthi Sugars Ltd.,SAKHTISUGEQ1
Sakthi Sugars Ltd.,SAKHTISUGEQ
Thiru Arooran Sugars Ltd.,THIRUSUGAREQ1
Thiru Arooran Sugars Ltd.,THIRUSUGARBZ
Dhampur Sugar Mills Ltd.,DHAMPURSUGEQ1
Dhampur Sugar Mills Ltd.,DHAMPURSUGEQ
ISGEC Heavy Engineering Ltd.,SARASINDEQ1
ISGEC Heavy Engineering Ltd.,ISGECEQ
Empee Sugars and Chemicals Ltd.,EMPEESUGEQ
Mawana Sugars Ltd.,SIELEQ1
Mawana Sugars Ltd.,MAWANASUGEQ
Balrampur Chini Mills Ltd.,BALRAMCHINEQ
Davangere Sugar Company Ltd.,DAVANGEREEQ
Indian Sucrose Ltd.,OSWALSUGBE
